Year;Nrb_breeder;Chicks
1988/1989;26308;NA
1989/1990;24654;NA
1990/1991;23982;NA
1991/1992;23306;NA
1992/1993;27664;13337
1993/1994;32806;16760
1994/1995;32666;11042
1995/1996;34102;39074
1996/1997;28733;20423
1997/1998;34389;32481
1998/1999;35883;16396
1999/2000;32324;26214
2000/2001;26339;22046
2001/2002;25686;11313
2002/2003;23698;28898
2003/2004;25447;26085
2004/2005;30108;14792
2005/2006;30795;20318
2006/2007;27551;27992
2007/2008;28717;27692
2008/2009;32522;36722
2009/2010;32641;32117
2010/2011;28627;17960
2011/2012;31004;11477
2012/2013;45522;18295
2013/2014;42192;0
2014/2015;34289;5691
2015/2016;38677;35501
2016/2017;37834;33
2017/2018;37590;19982
2018/2019;33336;35153
